ticket_id,ticket_trace/contact
0,"0, 1"
1,"1-2458-98519-115061-140081-165605-476346, 12"
2,"2-159312-322639-348955, 4"
3,"3, 0"
4,"4, 2"
5,"5-50-212533-215197-226720-383605-404324-458692-482810, 15"
6,"6-38-32871-142067-236367, 13"
7,"7, 1"
8,"8-183160-406623, 5"
9,"9-13-16708-33415-343161-417916-468927-484896, 8"
10,"10-93270, 7"
11,"11-244207, 3"
12,"12-160893-480595, 7"
13,"9-13-16708-33415-343161-417916-468927-484896, 8"
14,"14-65749-83313-267520-323910-359095, 10"
15,"15-17-21197-486106, 14"
16,"16, 0"
17,"15-17-21197-486106, 14"
18,"18-10380-26580-70474-70621-79466-121268-159329-176080-235210-261681-274269-327057-382449-415657-450623, 28"
19,"19-406780, 1"
20,"20, 3"
21,"21-499255, 5"
22,"22-4562-106701-231013-269015-298102-408655-416176-453177-473446, 10"
23,"23-1944-49506-192016, 15"
24,"24-1485-112670-118722-139764-235060-278469-386186-412121, 19"
25,"25, 2"
26,"26-229592-402598, 2"
27,"27-246-41540-112494-158446-237701-259786, 14"
28,"28-1271-26068-177136-271446-382292-487899-495579, 14"
29,"29-64140-364569-437861-463960, 10"
30,"30-19563, 4"
31,"31-66232, 0"
32,"32, 3"
33,"33-459-46643-117352-269224-499013, 13"
34,"34, 0"
35,"35-51, 5"
36,"36, 1"
37,"37-1864, 5"
38,"6-38-32871-142067-236367, 13"
39,"39-20375-23729-32596-39187-47554-95806-110030-122105-191174-254425-262931-285406-346215-354020-364596-461467-475371, 34"
40,"40-1182-28643-170845-171331-185008-196535-198449-208205-217500-239282-256779-264186-283948-296482-311837-313529-339743-373119-389380-395664-396104-419260-431243-454084-484815-491223-499570, 58"
41,"41-11667-64947-168137-275580-337549-366951, 9"
42,"42-164913, 6"
43,"43-286788-480546, 7"
44,"44-171746, 2"
45,"45, 3"
46,"46, 1"
47,"47, 1"
48,"48, 4"
49,"49-50840-179281, 5"
50,"5-50-212533-215197-226720-383605-404324-458692-482810, 15"
51,"35-51, 5"
52,"52-46079-114882-157219-340482-394326, 12"
53,"53, 0"
54,"54-378247, 6"
55,"55, 3"
56,"56, 3"
57,"57-1534-34572-40050-66405-111925-131269-174248-264710-298303-386483-393869-418805-460716-472554, 37"
58,"58, 3"
59,"59, 0"
60,"60-7964-13981-331792-426590-486286, 9"
61,"61, 1"
62,"62-9506-25476-92496-230246-298529-375889-379246-481395, 14"
63,"63-241115-471199, 4"
64,"64, 2"
65,"65-114641-169915-206935-357273, 15"
66,"66, 1"
67,"67-1576-111438-145889-190601-284496-439322-461215, 14"
68,"68-1321-187301-321667, 5"
69,"69-214159, 6"
70,"70, 3"
71,"71-335-2441-3783-10088-23134-48539-63028-87600-110495-125054-145501-152973-169975-171236-181647-213907-232849-238913-251219-263203-266190-301846-382923-397815-459512-478605, 61"
72,"72-414959, 1"
73,"73, 1"
74,"74-74819-146498-280238-332989-434328-491356, 12"
75,"75-366910, 7"
76,"76-470100, 0"
77,"77, 2"
78,"78-199488-266731-285621-468556, 15"
79,"79-151123, 4"
80,"80-38705-39843-122330-136069-138219-138888-140452-159022-195334-265667-296648-301815-370204-372153-389680-410682-416731, 31"
81,"81-151818-383073, 8"
82,"82-279875, 6"
83,"83-22387-24340-39776-47463-54994-126500-153101-175025-192415-202951-204437-235552-266341-292695-302668-354979-393915, 30"
84,"84, 0"
85,"85-271911, 5"
86,"86-247375-354315-447444, 12"
87,"87, 2"
88,"88, 0"
89,"89-316049-470531, 2"
90,"90-53830-272530-462213, 10"
91,"91-11428-46544-60777-62822-77764-82757-97152-101634-154339-155324-160152-163969-177073-189307-201173-207738-212878-219245-224737-228267-238605-305637-331943-332912-353023-356675-361432-377255-378577-391918-413237-446819, 53"
92,"92-51599-81863-287578, 7"
93,"93-463050, 3"
94,"94-198708-223721-225405-264494-269455-279700-423724-478525-497318, 21"
95,"95, 0"
96,"96-9854-58319-66706-116460-356800, 11"
97,"97, 3"
98,"98, 0"
99,"99-62730-115978-127705, 10"
